Meses,Anos,Agropecuária,Indústria,Serviços,Total,PIB
Dezembro,2020.0,1.6638159533337804,10.703611545612034,6.160778302132952,7.038272133698142,7.0513703985819465
Janeiro,2021.0,-9.220479124207026,4.2517788711772475,4.433475187097202,4.2167168247857045,4.229584194488711
Fevereiro,2021.0,3.8982689716535734,3.9908713903051174,5.994373561028765,5.563919744331813,5.767767515939459
Março,2021.0,13.381002241581408,10.86526856915384,8.286332820327381,8.843548696475235,9.777081086654494
Abril,2021.0,2.9467635025395733,24.73933166138085,14.860295400378165,16.369831463013696,19.097492585119348
Maio,2021.0,-8.983173769428998,21.6211698647359,14.286562516222933,15.359523391813923,17.43408238758064
Junho,2021.0,-9.297466877717008,10.950966753436141,11.05667041038605,10.535365400819252,11.560106929209478
Julho,2021.0,-14.67565718987779,2.4643039996821825,7.7213858737077645,6.013402530604961,6.336141613593749
Agosto,2021.0,-8.198747012892838,1.5235520463705798,8.527650664123755,6.665581048086211,6.890023394168199
Setembro,2021.0,-7.65261370775252,-1.292781805697063,5.0079357653933565,3.494216390414473,3.368225511167733
Outubro,2021.0,-7.072268136056936,-7.7618951310418405,3.409079665648118,0.9525284761451092,0.5944722249267009
Novembro,2021.0,-2.990105640840557,-4.981559823925497,4.434071270943862,2.4112321889204313,2.290996964111791
Dezembro,2021.0,3.511038247405751,-4.639936048658944,4.627466673781266,2.6940318964147947,2.5343635280334453
Janeiro,2022.0,1.835763379319011,-7.319878537279434,3.705885734345027,1.0852443632112685,0.83313511473877
Fevereiro,2022.0,4.439399145853717,-5.112005040464906,4.076543816244516,1.9118116643547012,1.7115438324580179
Março,2022.0,-5.50549463041079,-0.6849704974572268,4.899837088648451,3.4443660157636335,3.679426617705328
Abril,2022.0,3.633206556906221,0.006157635455306121,3.824919396323301,2.8813499569202206,3.0219238700041284
Maio,2022.0,14.822962518393856,0.26310370229227775,5.287339046424999,4.316489060370499,4.330934518356333
Junho,2022.0,5.905181033657048,-1.4846498010433917,3.868085244392616,2.7410934158780043,2.7345809136075427
Julho,2022.0,11.475295567071875,1.213141581902133,4.416322703425313,4.001022222776962,4.001866432568124
Agosto,2022.0,-1.4251550919372913,4.6172707512871725,4.06303604029572,4.285992808826533,4.532709871896667
Setembro,2022.0,-0.886300139041929,-0.17987173364800713,6.041787429291312,4.604227221489476,4.551637326062297
Outubro,2022.0,-3.423365382926624,5.5597051440055445,6.092836480407238,5.90679734337618,5.864863603762038
Novembro,2022.0,-3.8424794404728346,3.8817672096796096,4.467283896693908,4.080900975099033,4.077321336110518
Dezembro,2022.0,-8.393504262038176,-0.034153624989952114,2.8528636389768325,1.550578693197946,1.379007942221433
Janeiro,2023.0,-15.006636182570077,1.38169487419042,3.988012518564066,2.8232697135378793,2.6134067106932113
Fevereiro,2023.0,-3.2683691745596155,-0.7528852920884677,2.478814914331373,1.4197786559035919,1.0970702936189625
Março,2023.0,4.3114218349492806,-2.8888283648914936,3.3039370208500562,2.111670561824419,1.6809313056061814
Abril,2023.0,2.73887788534366,-2.268696782339674,1.6607895762714042,0.6313870159574186,0.10957649539584668
Maio,2023.0,3.1611300193755243,1.822908592501471,1.367083235357236,1.44303141815334,1.105571001856842
Junho,2023.0,8.031187957668662,-0.6333392340637123,2.3125592730516287,2.054662959935616,1.5106940979539907
Julho,2023.0,1.8427326582558745,-2.8759193917577086,0.12691216333795552,-0.028785968358391312,-0.620862182480697
Agosto,2023.0,-0.5780983110349025,-0.9872384365599562,1.6128193621287368,1.249764017356081,0.7005798010417452
Setembro,2023.0,-9.621106552825998,-0.450204705121382,-0.4813428749428139,-0.6007461740686892,-0.6223026723211178
Outubro,2023.0,-8.561812374222589,-1.3373448603048455,0.49917902683467297,-0.3031494365269616,-0.38578694240195555
Novembro,2023.0,-1.04129934365631,1.5482640219897315,0.7396217149633566,0.6434309205221922,0.6395806748213495
Dezembro,2023.0,14.064731094229742,0.6314426835014597,1.2471910577789291,1.2431336821743466,1.1511009780187154
Janeiro,2024.0,12.03493332281833,3.2950174368038487,2.2291234125857207,2.535817675087859,3.0312421172573156
Fevereiro,2024.0,-4.110541210905561,4.010141470301276,3.0654122893331692,3.1399141952007437,3.806162365823962
Março,2024.0,-9.64460800685768,-2.3610373562000575,0.4214936556074633,-0.4988944786540994,-0.4969573532107696
Abril,2024.0,-4.494454627658873,9.441895734596306,4.688013712114936,5.586630528139103,6.126358734297077
Maio,2024.0,-8.528583490709373,0.2559107481483247,2.731262040685767,1.9435718366276777,2.270436889672789
Junho,2024.0,-9.541550981239578,6.376819123001098,2.590192106161382,3.103843730563738,3.6372339447617197
Julho,2024.0,-9.020821899639408,4.0490445011749365,5.736360592769274,4.828050564907538,5.508633161108745
Agosto,2024.0,-4.190407886911284,0.7972553236486712,3.211484117632124,2.4394683750929236,2.7321168668231977
